time,left_1,left_2,left_3
7.00700770770771,0.957903681547791,-0.793805900629947,-0.635135930553787
154.15416956957,0.747252800433035,-1.00285685561054,-0.817185179032228
155.155170670671,0.74726029126824,-1.00283769301094,-0.819211197046159
217.217238938939,0.752303859708553,-0.977309257262043,-0.949553378926744
436.43648008008,0.14180915130662,-0.784460546247913,-1.19153862889865
588.588647447447,-0.89060645690472,-0.736987733887734,-1.16812189567598
638.638702502503,-0.998808671538657,-0.724489700663066,-1.17800943565307
745.74582032032,-0.441189009510904,-0.704056709301256,-1.25701983765067
798.798878678679,0.095596040682343,-0.713989196951623,-1.27727964113613
980.981079079079,1.43188778304787,-0.993654372179517,-0.760974991347878
1000.0001,1.40499004785543,-1.05435340112977,-0.622209878335978
