time,left_1,left_2,left_3,right_1,right_2,right_3,head_1
1.719515175757575662e+03,3.132699558146066071e-02,8.611726802584341103e-04,1.128113545542996227e-02,9.758952145972160652e-01,-2.993947124652300840e-01,-8.638427012631827440e-01,1.215892089951551153e-01
1.791161641414141286e+03,6.457065698493326227e-03,3.341965815367858861e-02,4.122113090603687219e-02,9.220616209007764796e-01,-2.930770477044561395e-01,-8.386395697139547023e-01,9.567259087346181856e-02
1.862808107070706910e+03,-1.086760243502355242e-02,5.474196083221793963e-02,6.109370984980680430e-02,8.810907860301593342e-01,-2.905748887297534000e-01,-8.188408817245201865e-01,5.767818186107880052e-02
1.934454572727272534e+03,-2.064700881908993618e-02,6.482808071587645160e-02,7.089887228673977249e-02,8.529827099853638517e-01,-2.918105683395456063e-01,-8.044466372948791966e-01,7.605981958006047261e-03
2.006101038383838386e+03,-2.288115345370585890e-02,6.367801780465411066e-02,7.063661821683578368e-02,8.377373927663902542e-01,-2.967840865338327028e-01,-7.954568364250313994e-01,-5.224220054244419625e-02
2.077747504040403783e+03,-1.776977131929880979e-02,5.162288628413763680e-02,6.030795604753336897e-02,8.353548343732389858e-01,-3.054954433126145230e-01,-7.918714791149769061e-01,-1.054470590536833730e-01
2.149393969696969634e+03,-1.059650669484136880e-02,3.718116299864849400e-02,4.574172315703680519e-02,8.458350348059096024e-01,-3.179446386758914000e-01,-7.936905653647159387e-01,-1.487857566142379573e-01
2.221040435353535031e+03,-3.707232166154103906e-03,2.409039368745253748e-02,3.246706783670721269e-02,8.691779940644021041e-01,-3.341316726236630008e-01,-8.009140951742483860e-01,-1.822582932241072484e-01
2.292686901010100883e+03,2.898052266763072923e-03,1.235057835054958683e-02,2.048399008654442147e-02,9.053837121487169348e-01,-3.540565451559295473e-01,-8.135420685435741373e-01,-2.058646688832917737e-01
2.364333366666666734e+03,9.219346603910116150e-03,1.961716987939740933e-03,9.792489906548518253e-03,9.544521890588537616e-01,-3.776689143291340200e-01,-8.315744854726934143e-01,-2.196048835917913111e-01
2.435979832323232131e+03,1.525665084528698978e-02,-7.076190400376949907e-03,3.925672967195772099e-04,1.014439103461047598e+00,-3.988842809127287059e-01,-8.550113459616059952e-01,-2.234789373496056664e-01
2.507626297979797982e+03,2.100996499089377231e-02,-1.476314381440059845e-02,-7.715777742942543475e-03,1.063163801789262841e+00,-4.135068534100940219e-01,-8.838526500103122130e-01,-2.174868301567351725e-01
2.579272763636363379e+03,2.647928904073038742e-02,-2.109914325413110928e-02,-1.453254521243773321e-02,1.094356214265422178e+00,-4.215366318212297458e-01,-9.180983976188112905e-01,-2.016285620131796352e-01
2.650919229292929231e+03,3.166462299479690101e-02,-2.608418871956855872e-02,-2.005773511176607224e-02,1.108016340889525164e+00,-4.229736161461357669e-01,-9.508615950555476815e-01,-1.759041329189390823e-01
2.722565694949494628e+03,3.656596685309326106e-02,-2.971828021071288781e-02,-2.429134744092750070e-02,1.104144181661571800e+00,-4.178178063848123625e-01,-9.679473877683003602e-01,-1.403660367644380125e-01
2.794212160606060479e+03,4.118332061561950919e-02,-3.200141772756413816e-02,-2.723338219992205850e-02,1.082739736581561862e+00,-4.060692025372593106e-01,-9.689264014004849157e-01,-1.021523476397303842e-01
2.865858626262625876e+03,4.555781590633545958e-02,-3.298560582948925624e-02,-2.888383938874972134e-02,1.043803005649496018e+00,-3.917529641382256345e-01,-9.537986359521011259e-01,-6.629320726708845535e-02
2.937505091919191727e+03,5.118726024753156301e-02,-3.450257209043097739e-02,-2.984896271961214737e-02,9.873339888653734908e-01,-3.812698023844308670e-01,-9.225640914231494349e-01,-3.278861564651172622e-02
3.009151557575757579e+03,5.882446288285698988e-02,-3.746201778692237472e-02,-3.155127450515537307e-02,9.167167824890163352e-01,-3.747014182456249176e-01,-8.752227678136295097e-01,-1.638572778000555070e-03
3.080798023232322976e+03,6.846942381231171937e-02,-4.186394291896339270e-02,-3.404987968362355177e-02,8.517812932583262997e-01,-3.720478117218080083e-01,-8.126373166339497800e-01,2.715692133844498091e-02
3.152444488888888827e+03,8.012214303589582087e-02,-4.770834748655410074e-02,-3.734477825501673898e-02,7.957546364874878986e-01,-3.733089828129798615e-01,-7.526751758431446948e-01,5.359786670282521565e-02
3.224090954545454224e+03,9.378262055360916949e-02,-5.499523148969441555e-02,-4.143597021933488611e-02,7.486368121765020200e-01,-3.784849315191405328e-01,-7.024395464785410104e-01,7.768426331513983429e-02
3.295737420202020076e+03,1.094508563654519456e-01,-6.372459492838444817e-02,-4.632345557657803481e-02,7.104278203253677759e-01,-3.875756578402902441e-01,-6.619304285401379495e-01,9.941611117538912135e-02
3.367383885858585472e+03,1.271268504714239689e-01,-7.389643780262405981e-02,-5.200723432674612956e-02,6.811276609340858323e-01,-4.005811617764286625e-01,-6.311478220279362894e-01,1.187934102835727923e-01
3.439030351515151324e+03,1.468106028715253641e-01,-8.551076011241340313e-02,-5.848730646983923975e-02,6.607363340026558562e-01,-4.175014433275561210e-01,-6.100917269419352529e-01,1.358161606396911525e-01
3.510676817171717175e+03,1.685021135657561731e-01,-9.856756185775242263e-02,-6.576367200585733763e-02,6.492538395310777366e-01,-4.383365024936723975e-01,-5.987621432821352840e-01,1.504843622437440076e-01
