,Unnamed: 0,participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
16,16,18,1585,"1,64986453859089E+018",spoon,[1.49011964 1.25759371 0.48903389 0.48903369],[1.55621993 1.27876566 0.34198456 0.34198448],[0.16680958 0.27136436],[-1.49522854 -1.53602336  1.69355389  1.69355254],[ 1.50549578  1.67415584 -2.08814131 -2.08814172],[ 3.04990458 -3.1181263 ],[-1.37586054  0.68615908  0.01666868 -1.03509561  0.00546614],[-1.56685582 -0.69626606  0.00277811  1.02579504  1.36896466],[-0.02153038  0.        ]
17,17,18,1648,"1,64986453881655E+018",ladle,[1.53948936 2.36110238 1.75820429 1.75820408],[1.63335926 2.69672655 1.38847024 1.38847031],[0.26241132 0.20149052],[-1.4873645  -1.5689764  -2.96523478 -2.96523499],[1.49096113 1.54335467 3.09256479 3.09256484],[2.88898752 3.10537528],[ 1.61061111  0.38021791 -2.08566846 -1.54461639 -1.57079633],[ 1.55852148 -0.70582673  1.99260167  0.92524826  1.23838463],[ 0.14515641 -0.01747945]
18,18,18,1849,"1,64986453944345E+018",shallow_plate,[1.60825406 2.74578522 1.8163171  1.81631715],[1.64488258 2.8579276  1.84228609 1.84228578],[0.15239404 0.10752793],[-1.445488   -1.30797667  2.78323643  2.7832365 ],[ 1.50602684  1.55411266 -2.51823894 -2.51824003],[2.92784729 2.36272443],[ 1.52726771  0.3160249  -0.77856621 -1.17334743 -1.57079633],[ 1.60713846 -0.27559696  0.75634131  1.28595981  1.57079633],[ 0.08612151 -0.06688104]
19,19,18,1975,"1,64986453982996E+018",dinner_plate,[1.47280363 2.10020524 0.96389284 0.96389218],[1.46582866 2.22801735 0.90975916 0.90975896],[0.21013651 0.09409541],[-1.44640268 -2.00764565  2.69845027  2.69844956],[ 1.5810935   2.49501662 -2.64988608 -2.64988541],[2.45487001 2.39967911],[ 0.89524697  0.52359878 -1.16750206 -1.4624194  -1.42787752],[ 0.9230281  -0.52359878  1.37794413  1.51470372  1.36592792],[ 0.09653943 -0.0283478 ]
20,20,18,2675,"1,64986454210874E+018",initial,[1.59966885 2.76227012 2.8514969  2.85149659],[1.64864709 2.88307126 2.81219325 2.81219329],[0.31093531 0.32445041],[-1.49877496 -0.80371294 -2.63842063 -2.63842092],[ 1.52013731  0.81910629 -3.00219923 -3.00219911],[3.01798495 3.00659087],[ 1.68700922  0.09476388 -1.3307162  -0.53110491 -1.41269379],[ 1.71131771 -0.1103341   1.04719755  0.17366113  1.28089906],[0. 0.]
21,21,18,2703,"1,64986454219577E+018",fork,[1.52490097 2.1365823  0.60277213 0.60277101],[1.57961958 2.28494701 0.57294101 0.57294101],[0.26480531 0.16626078],[-1.55124722 -1.5552512   2.9399011   2.93990039],[ 1.52088975  2.05128322 -2.68569376 -2.68569361],[2.98923429 2.82389137],[ 0.77023187  0.52772526 -1.46962186 -1.3962634  -1.57079633],[ 0.69036112 -0.46954181  1.36058092  1.3962634   1.57079633],[0. 0.]
22,22,18,3012,"1,64986454317862E+018",salt_shaker_right,,,,,,,,,
23,23,18,3023,"1,64986454321952E+018",salt_shaker_left,,,,,,,,,
24,24,18,3235,"1,64986454399311E+018",sugar_bowl,,,,,,,,,
25,25,18,3405,"1,64986454465071E+018",mixer,,,,,,,,,
26,26,17,870,"1,64986451504745E+018",teacup,[1.60555785 2.95715146 2.8375497  2.83754926],[1.63621791 2.70753474 2.54168638 2.54168636],[0.24343704 0.16049593],[-1.71105099 -1.34000746 -3.04172234 -3.04172254],[ 1.4749165   1.33426133 -2.90164455 -2.90164387],[ 2.96168613 -2.90884493],[ 1.64186488  0.34906585 -0.81676527 -0.95717186 -0.71727918],[ 1.56199413 -0.20047748  1.53768563  0.17743164  1.4388098 ],[0. 0.]
27,27,17,1120,"1,64986451510052E+018",teapot,[1.53229925 1.14020827 0.848258   0.84825735],[1.69789941 2.66275222 2.48425619 2.48425687],[0.14786162 0.290941  ],[-1.47482502 -1.43902143 -1.46620576 -1.46620839],[ 1.45461821  1.15294097 -2.78443548 -2.78443491],[3.03224613 2.6418762 ],[ 1.57241205  0.44304512 -0.67785961 -0.96722654 -0.93288807],[-1.34807941 -0.74270356  0.32226113  0.31065611  1.63619823],[0. 0.]
28,28,17,1352,"1,64986451515049E+018",spoon,[1.51056764 2.19602728 0.73635261 0.73635276],[1.68520036 2.23217296 0.42087556 0.42087512],[0.2058024  0.11795568],[-1.63648955 -1.57737017  2.25853238  2.25853263],[ 1.42734823  1.90270101 -2.04460832 -2.04460621],[ 2.72041073 -2.87595129],[-1.30293507  1.24614068 -0.13612754 -1.54461639 -1.20315838],[-1.3962634  -1.31497744 -0.3167049   1.53229941  1.57079633],[ 0.0270866  -0.01155126]
29,29,17,1488,"1,64986451517963E+018",ladle,[1.58547089 2.31831358 1.31539021 1.31539025],[1.62471461 2.49091978 1.22179158 1.22179159],[0.11364762 0.20618511],[-1.63352739 -2.73150089  2.23667364  2.23667385],[ 1.5644313   2.5676162  -2.54539757 -2.54539785],[3.11115139 2.83730501],[ 1.23556583  0.2381738  -1.04719755 -1.54461639 -0.7658671 ],[ 1.06887904 -0.28242601  1.04719755  1.29601449  0.47312488],[0. 0.]
30,30,17,1973,"1,64986451528461E+018",shallow_plate,[1.56513585 1.9334086  0.87498368 0.87498322],[1.62946535 2.08779966 0.924329   0.92432835],[0.08902123 0.21692771],[-1.61481112 -2.39918115  2.98245071  2.98245063],[1.49931269 2.40680983 2.93440187 2.93440145],[2.75927988 0.56662698],[ 0.69036112  0.39933924 -1.52171148 -1.15575174 -0.46826608],[ 0.80148565 -0.57880651  1.47865073  1.25202528  0.9802613 ],[-0.05972943 -0.01550338]
31,31,17,2132,"1,64986451531823E+018",knife,,,,,,,,,
32,32,17,2357,"1,64986451536748E+018",fork,[1.59040297 2.39567358 0.75548422 0.75548321],[1.65972607 2.52918006 0.60587885 0.60588019],[0.19511252 0.09609542],[-1.54003181 -1.96450864  2.59045141  2.59044987],[ 1.44183415  2.26200553 -2.60638648 -2.60638824],[2.86793003 2.46819123],[ 1.13446401  0.28734292 -1.42795017 -1.3962634  -1.57079633],[ 1.07582432 -0.33159512  1.4508696   1.3962634   1.57079633],[-0.06320207  0.        ]
33,33,17,2567,"1,64986451541205E+018",salt_shaker_left,,,,,,,,,
34,34,17,2579,"1,64986451541454E+018",salt_shaker_right,,,,,,,,,
35,35,17,2847,"1,64986451547141E+018",sugar_bowl,,,,,,,,,
36,36,17,3013,"1,64986451550675E+018",mixer,,,,,,,,,
37,37,17,3157,"1,64986451553898E+018",pressure_cooker,,,,,,,,,
38,38,19,371,"1,64986457054477E+018",teacup,[1.57475985 2.84552246 2.95872399 2.95872354],[1.64464667 2.66959831 2.51599254 2.51599206],[0.2727351  0.08705469],[-1.59026174 -0.81207339 -2.03176074 -2.03176413],[ 1.5089892   1.19335762 -2.31978544 -2.31978665],[ 2.85350617 -3.12770493],[ 1.86064129  0.32558556 -1.3962634  -1.04719755 -0.10689343],[ 1.52379507 -0.08574954  0.39865924  0.03917982  0.84057103],[0.05486773 0.00326922]
39,39,19,540,"1,64986457122584E+018",teapot,[1.47594687 1.43519635 0.96539636 0.96539601],[1.66167697 2.71090389 2.37164446 2.37164434],[0.20402669 0.12170753],[-1.52080672 -1.7270771  -1.78633003 -1.78633006],[ 1.50802088  1.1499003  -2.45134717 -2.45134722],[2.8011207  0.80915234],[ 1.28765545  0.52359878  0.22849981 -0.90187114 -1.20619513],[-1.0285964  -0.99401238  0.22849981  0.36847051 -0.93592482],[0. 0.]
40,40,19,751,"1,64986457193865E+018",spoon,[1.51549431 1.46163589 0.70848311 0.70848327],[1.61709911 1.57354695 0.55077789 0.55077768],[0.13772334 0.08753631],[-1.60327245 -1.64738613  1.66423427  1.66423278],[ 1.49316427  1.86559862 -1.59802648 -1.598028  ],[ 2.79585505 -3.00183444],[-1.3962634   1.28984656  0.03055924 -1.54461639 -1.41269379],[-1.29946243 -1.0445473   0.          1.51721739  1.45399352],[0. 0.]
41,41,19,1094,"1,64986457300944E+018",ladle,[1.5943053  2.6731529  1.67311958 1.67311953],[1.68630124 2.68990621 1.63489798 1.63489801],[0.13882051 0.09129153],[-1.60065032 -2.20439966  2.48763013  2.48763013],[ 1.54685598  2.35301094 -2.67350446 -2.67350465],[2.93188878 1.25464737],[ 1.36405356  0.3160249  -0.81676527 -1.28394888 -1.3458854 ],[ 1.39530734 -0.31793703  0.77717716  1.25705262  1.57079633],[ 0.0270866  -0.04415631]
42,42,19,1107,"1,6498645730406E+018",initial,[1.62639572 2.91888579 2.9486538  2.94865398],[1.68962228 2.88288392 2.74340738 2.74340648],[0.25099061 0.18964872],[-1.66896177 -1.18681732 -1.81734659 -1.81734749],[ 1.58578761  1.25083099 -2.86078558 -2.86078617],[3.01626572 2.67146614],[ 1.59672054  0.05378962 -1.04719755 -0.43432864 -1.57079633],[ 1.60019318 -0.13491866  1.04719755  0.03490659  1.57079633],[0.14515641 0.        ]
