,Unnamed: 0,participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
79,79,10,1804,"1,6498644302807E+018",teapot,[1.51295263 1.61868683 1.2584953  1.25849558],[1.52890567 2.62185782 2.25686698 2.25686641],[0.17973296 0.05935048],[-1.34107063 -1.32187689 -1.71493113 -1.71493097],[ 1.55257684  1.29174358 -2.90310988 -2.90310979],[-3.05050312 -1.21105841],[ 1.3962634   0.40207085 -0.19516245 -1.0815985  -0.89948388],[-1.3962634  -1.11010612  1.62102903  0.07688486  0.31825088],[ 0.         -0.01451535]
80,80,10,1976,"1,64986443075901E+018",spoon,[1.56554388 1.90118807 0.72158417 0.72158394],[1.52252203 2.05572642 0.65210551 0.65210543],[0.14214943 0.19494888],[-1.60616918 -1.2881295   2.21791593  2.2179146 ],[ 1.48527758  1.70942573 -2.18733599 -2.18733559],[-2.95239825 -3.10915758],[-1.15708413  1.28984656  0.         -1.50263811 -1.5614943 ],[-1.0702681  -1.32317229  0.          1.5247584   1.82386907],[0. 0.]
81,81,10,2279,"1,64986443165102E+018",ladle,[1.60553264 2.78012142 1.3866273  1.38662708],[1.56697898 2.8107324  1.41944573 1.41944589],[0.13899184 0.07474101],[-1.46540007 -1.67976658  2.57860252  2.57860209],[ 1.50711106  1.75722391 -2.44385174 -2.44385197],[-3.02200256 -2.01938322],[ 1.57588469  0.5181646  -1.01123319 -1.26006902 -0.62921357],[ 1.14527715 -0.48866313  0.34656962  1.48579653  1.51472842],[0. 0.]
82,82,10,2492,"1,64986443219296E+018",initial,[1.64618135 2.81385551 2.94647881 2.94647823],[1.63571045 2.78270163 2.86363061 2.86363067],[0.26138118 0.08508492],[-1.4710862  -0.92788662 -2.53414633 -2.53415004],[1.53317097 0.84478261 2.96137711 2.96137661],[-3.07520702 -2.82350815],[ 1.70089978  0.08930065 -1.04719755 -0.61908334 -1.27300352],[ 1.6349196  -0.1567716   1.56893941  0.43885325  0.93167338],[0.0270866  0.00129316]
83,83,10,2509,"1,64986443222769E+018",shallow_plate,[1.52577718 2.76402199 0.71458631 0.71458589],[1.57000253 2.74412133 0.70577743 0.70577782],[0.11718768 0.05105237],[-1.49485143 -1.85754551  2.82905232  2.82905215],[ 1.56925623  2.34013788 -2.70371662 -2.70371704],[-3.07899862 -0.10095673],[ 1.48352986  0.21768667 -1.48003979 -1.54461639 -1.42787752],[ 1.26334696 -0.17862454  1.50295922  1.54461639  1.36592792],[-0.09445585  0.        ]
84,84,10,2831,"1,64986443318586E+018",dinner_plate,[1.61261097 2.64380628 0.90599822 0.90599848],[1.60688569 2.73102448 0.91049789 0.91049786],[0.13299459 0.06654821],[-1.49025385 -1.5965301   2.37032025  2.37032066],[ 1.48773757  2.29031336 -2.13690339 -2.13690265],[-3.02241588 -0.4474884 ],[ 1.2668196   0.43348446 -1.20570111 -1.54461639 -0.63225032],[ 1.50295922 -0.41081203  1.0654064   1.53984042  0.43972068],[0. 0.]
85,85,10,2993,"1,64986443374467E+018",knife,,,,,,,,,
86,86,10,3266,"1,64986443485813E+018",fork,[1.57234393 2.77575106 0.63039146 0.63039068],[1.53966916 2.71323731 0.53416837 0.5341684 ],[0.17324128 0.08883597],[-1.50131488 -1.79889379  2.89272821  2.89272804],[ 1.50927775  2.17956664 -2.74622607 -2.74622606],[-2.83845138  0.18072957],[ 0.78412244  0.15622528 -1.5981096  -1.54461639 -1.57079633],[ 0.74592338 -0.1417477   1.56893941  1.54461639  1.57079633],[-0.03542094 -0.00957519]
87,87,10,3604,"1,64986443584147E+018",salt_shaker_right,,,,,,,,,
88,88,10,3617,"1,64986443587739E+018",salt_shaker_left,,,,,,,,,
89,89,10,3868,"1,64986443664934E+018",sugar_bowl,,,,,,,,,
90,90,10,4118,"1,64986443745758E+018",mixer,,,,,,,,,
91,91,10,4268,"1,6498644380027E+018",pressure_cooker,,,,,,,,,
92,92,13,1019,"1,64986444834242E+018",teacup,[1.54335989 2.53941834 2.12118132 2.12118168],[1.62080484 2.9607036  2.85363567 2.85363605],[0.13630911 0.1098148 ],[-1.52724573 -1.12147425  2.38879449  2.38879391],[1.45242715 1.95059073 3.02910426 3.02910423],[-3.03217424  0.42672572],[ 1.4925413   0.17944402 -0.10487377 -0.18798905 -1.39143658],[ 1.91967619 -0.33022931  1.04457055  1.53588974  1.57079633],[ 0.0097234  -0.01550338]
93,93,13,1220,"1,64986444838522E+018",teapot,[1.60410721 2.56920895 2.34567069 2.34567093],[1.5140169  1.50552631 1.06636838 1.06636837],[0.13764591 0.10139337],[-1.58441269 -0.97422332  2.67616063  2.67616037],[1.42164554 1.6437124  1.82212117 1.82212203],[-3.00567577 -0.02116117],[-1.38280583  1.09863333 -0.67091433 -0.16536602 -0.96325553],[ 1.84675072 -0.15267417  1.25292904  1.53984042 -1.03613741],[0. 0.]
94,94,13,1529,"1,64986444845028E+018",spoon,[1.37550874 1.1535455  0.64699188 0.64699205],[1.5115539  1.06036917 0.4533887  0.45338913],[0.09444702 0.03702827],[-1.58297907 -2.48064573  1.00464681  1.00464738],[ 1.50096644  2.43644369 -1.04123935 -1.0412376 ],[0.59402872 2.17482917],[-0.94178036  0.47719034 -1.14666621 -1.25504168 -1.57079633],[-0.93483508 -0.54056386  0.73550546  1.20300873  1.4388098 ],[0. 0.]
95,95,13,1760,"1,64986444849911E+018",ladle,[1.55605097 2.85305941 1.9021753  1.90217539],[1.60353809 2.89983606 1.93721208 1.93721238],[0.0414699  0.20637841],[-1.54194825 -1.30196521  2.62136316  2.62136302],[ 1.4054496   1.35920238 -2.64084621 -2.64084589],[2.98081817 0.71572389],[ 1.62797431  0.24773446 -1.04719755 -1.04719755 -1.57079633],[ 1.57241205 -0.20594072  1.04804319  1.02830871  1.48739772],[ 0.29100735 -0.04909647]
96,96,13,1946,"1,64986444853771E+018",shallow_plate,[1.56796569 2.63482094 0.84022464 0.84022544],[1.59841103 2.68305155 0.66754623 0.66754616],[0.04606968 0.20514654],[-1.5782956  -1.63752422  2.81552293  2.81552322],[ 1.47575322  2.19283354 -2.94287534 -2.94287529],[2.6046676  0.48730176],[ 1.23903847  0.24910027 -1.50782092 -1.54461639 -1.65259665],[ 1.48352986 -0.29608409  1.60019318  1.54461639  1.82386907],[ 0.0687583  -0.03427599]
97,97,13,2264,"1,64986444860678E+018",dinner_plate,[1.5748331  2.33823645 1.02001389 1.02001408],[1.65952318 2.27835571 0.92808584 0.92808575],[0.05738314 0.19243332],[-1.57109987 -1.64478578  2.30575761  2.30575822],[ 1.55322016  2.20084209 -1.87540518 -1.87540466],[2.01984274 0.2654273 ],[ 0.91261017  0.74762047 -1.04719755 -1.54461639 -1.15153372],[ 1.31196394 -0.72631386  1.4091979   1.54461639  1.48436097],[ 0.11737528 -0.02241961]
98,98,13,2448,"1,64986444867731E+018",knife,,,,,,,,,
99,99,13,2690,"1,64986444872886E+018",initial,[1.55762071 2.89820761 2.72413722 2.72413733],[1.62732333 2.97635545 2.84348684 2.84348716],[0.12339418 0.20637289],[-1.56727133 -1.24221743 -2.83870183 -2.83870181],[1.49001811 1.9625366  3.05884307 3.05884319],[2.71276295 0.16618367],[ 1.48352986  0.03057087 -1.1709747  -0.25962862 -1.57079633],[ 1.54463092 -0.07755469  1.28071017  0.30562877  1.57079633],[0. 0.]
100,100,13,2740,"1,64986444873934E+018",fork,[1.51446483 2.31829521 0.50476021 0.50476019],[1.56295131 2.30673976 0.33124547 0.33124538],[0.05215072 0.20575669],[-1.59879698 -2.33074095  2.57067576  2.57067583],[ 1.45937208  2.65844402 -2.38079158 -2.38079083],[1.49919983 0.62777172],[ 0.60701773  0.23680799 -1.37933318 -1.3962634  -1.57079633],[ 0.5375649  -0.22096461  1.51337714  1.3962634   1.57079633],[0.0687583 0.       ]
101,101,13,3010,"1,64986444879651E+018",salt_shaker_right,,,,,,,,,
102,102,13,3058,"1,64986444880672E+018",salt_shaker_left,,,,,,,,,
103,103,13,3294,"1,64986444885702E+018",sugar_bowl,,,,,,,,,
104,104,13,3508,"1,64986444890223E+018",mixer,,,,,,,,,
105,105,13,3712,"1,64986444894643E+018",pressure_cooker,,,,,,,,,
106,106,14,1139,"1,64986444964022E+018",teacup,[1.64449741 2.65268295 2.87598096 2.87598147],[1.62399124 2.26656405 2.3698494  2.36984895],[0.32767591 0.29961215],[-1.63426635 -0.56720641 -2.69443912 -2.69443867],[ 1.40865615  1.1390017  -2.47204699 -2.47204773],[2.95869956 2.92678751],[ 1.8363328   0.15076204 -1.35155205 -1.04719755 -0.17066507],[ 1.69048186 -0.18135616  1.48212337  0.31065611  1.56938983],[0. 0.]
107,107,14,1387,"1,64986444969135E+018",teapot,[1.69646399 2.51650967 2.35175606 2.35175631],[1.51563975 1.344662   0.95720223 0.9572021 ],[0.24928341 0.21669539],[-1.66081483 -0.55726339  3.00790409  3.00790422],[1.2561991  1.18203414 1.70681603 1.70681489],[-3.01514824  3.13509612],[-1.14319357  1.20926384 -1.05637753 -0.40793511 -0.94503506],"[ 1.92662148e+00 -3.32960931e-01  1.13485923e+00  1.34126054e+00
 -6.07349007e-04]",[0. 0.]
108,108,14,1601,"1,64986444973511E+018",spoon,[1.57766931 1.68537275 0.29676847 0.29676877],[1.51432847 1.74592815 0.42412404 0.42412443],[0.16488121 0.09373854],[-1.61535854 -1.71492499  2.23661838  2.23661761],[ 1.31170597  1.53234292 -2.70953545 -2.7095361 ],[-3.00298297  0.93084745],[-1.25084545  1.30213884  0.         -1.38826616 -1.57079633],[-1.3962634  -1.3095142   0.07223094  1.45060515  1.57079633],[-0.01805774  0.        ]
109,109,14,1868,"1,64986444979025E+018",ladle,[1.6184824  2.69614678 2.12627837 2.12627828],[1.64696089 2.8239055  2.1153679  2.11536749],[0.15787277 0.0714898 ],[-1.54705267 -0.78776739  2.71990481  2.71990476],[ 1.34923334  0.88517712 -2.69192022 -2.69192068],[3.07190534 2.90915003],[ 1.86411393  0.27505064 -1.04719755 -1.19974096 -1.57079633],[ 1.78771582 -0.34661902  0.81537621  1.04719755  1.57079633],[ 0.03750453 -0.05798875]
110,110,14,2094,"1,64986444983794E+018",shallow_plate,[1.62470417 2.43448878 1.36007841 1.36007835],[1.63866998 2.71166751 1.27899564 1.27899535],[0.0839158  0.05580387],[-1.57858108 -2.82687539  2.70059997  2.70060015],[ 1.45157967  2.39335317 -2.91316087 -2.91316078],[3.04321066 1.9701394 ],[ 1.24598375  0.17671241 -1.11888508 -1.41465968 -1.16064395],[ 0.9646998  -0.17862454  0.81537621  1.18415621  1.13209855],[0. 0.]
111,111,14,2419,"1,64986444990565E+018",dinner_plate,[1.58222344 2.10306361 1.56424738 1.56424753],[1.61482383 2.13324754 1.49089923 1.49089921],[0.13911937 0.07486093],[-1.6300005  -2.67467732 -3.05024221 -3.05024258],[1.44729286 2.63240595 3.13978021 3.13978017],[3.1298793  0.28648046],[ 0.5965998   0.17124917 -1.52518413 -0.81263588 -1.57079633],[ 0.64868942 -0.22779366  1.48212337  0.70027486  1.57079633],[-0.03542094  0.01314954]
112,112,14,2437,"1,64986444990944E+018",initial,[1.67095211 2.80278053 2.68452532 2.68452539],[1.6353372  2.83184288 2.82670462 2.82670415],[0.3049119  0.09987542],[-1.6307639  -0.62856517 -2.77084046 -2.77084049],[1.45870721 0.74818948 2.90744426 2.90744436],[-3.01521845  3.0102891 ],[ 1.64881016  0.01008374 -1.04719755 -0.35640489 -1.57079633],[ 1.69048186 -0.13491866  1.7772979   0.47153095  1.57079633],[-0.08056528 -0.01352732]
113,113,14,2585,"1,64986444994044E+018",knife,,,,,,,,,
114,114,14,2855,"1,64986444999726E+018",fork,[1.58218941 1.71360019 1.02093224 1.02093247],[1.62505097 1.59574448 0.79569152 0.79569144],[0.1031269  0.16090608],[-1.68847416 -1.96091314  1.61123159  1.6112322 ],[ 1.38107355  2.00216921 -1.6928688  -1.6928688 ],[3.09884029 3.13120993],[ 0.34309698  1.28438332 -1.45920394 -1.54461639 -1.57079633],[ 0.31878849 -1.13605649  1.29807337  1.54461639  1.78803548],[0. 0.]
115,115,14,3128,"1,64986445005475E+018",salt_shaker_left,,,,,,,,,
116,116,14,3140,"1,64986445005724E+018",salt_shaker_right,,,,,,,,,
117,117,14,3457,"1,64986445012253E+018",sugar_bowl,,,,,,,,,
118,118,14,3639,"1,64986445016028E+018",mixer,,,,,,,,,
119,119,14,4129,"1,64986445026829E+018",pressure_cooker,,,,,,,,,
120,120,6,1050,"1,64986434758477E+018",teacup,[1.57053964 2.42332306 2.48204215 2.48204153],[1.65641286 2.76673723 2.89297593 2.89297627],[0.2536529  0.28779549],[-1.56504945 -1.20563017  2.155486    2.15548703],[1.39742323 1.05804618 2.14203269 2.14202958],[-3.04006023  2.80731607],[ 1.7772979   0.23544218 -1.3962634  -0.38405526 -0.92074109],[ 1.72520827 -0.4531521   0.64868942  0.8938274   1.57079633],[-0.02500302 -0.00167094]
121,121,6,1243,"1,64986434808468E+018",teapot,[1.72124722 2.48822232 2.61123877 2.61123881],[1.50503958 1.59776755 1.28028617 1.28028655],[0.24882131 0.04315995],[-1.65753399 -1.07811679  2.11698199  2.11698213],[1.25196241 1.50387076 1.61413343 1.61413314],[-2.73881296  1.52470473],[-1.3962634   1.25433553 -0.87266463 -0.12011998 -0.05526876],[ 1.78424318 -0.49822379  1.00637149  1.16404685 -0.0583055 ],[-0.0319483  -0.02340764]
122,122,6,1433,"1,64986434863138E+018",spoon,[1.60328725 1.258289   0.39657417 0.39657389],[1.6226802  1.29440907 0.31318252 0.31318244],[0.10470619 0.12511188],[-1.58421819 -2.04832592  1.58430434  1.58430332],[ 1.40319209  2.07796133 -1.59558243 -1.59558113],[-3.07717169  1.31947766],[-0.97303413  0.69981717 -0.54937188 -1.12433088 -0.90859411],[-0.97650678 -0.6981317   0.66257999  1.17912887  1.50865493],[0. 0.]
123,123,6,1748,"1,64986434947537E+018",ladle,[1.63424649 2.67341742 2.0037207  2.00372027],[1.62509881 2.69560186 2.109434   2.10943367],[0.1566963  0.20157864],[-1.56446354 -1.8428895   2.46402541  2.46402571],[ 1.4226686   2.03167036 -2.51431101 -2.51431118],[-2.89090256  2.57199056],[ 1.350163    0.35017012 -0.55631716 -1.03635245 -1.44609799],[ 1.39530734 -0.34525321  0.72161489  1.04339072  1.57079633],[0.07570358 0.        ]
124,124,6,1970,"1,64986435005113E+018",shallow_plate,[1.60607653 2.34192671 0.80402455 0.80402431],[1.62278759 2.30043849 0.85932354 0.85932327],[0.07877612 0.06875541],[-1.60509238 -2.29289121  2.6676721   2.6676716 ],[ 1.47098681  2.44002177 -2.85058106 -2.85058105],[-3.1322569   2.42366097],[ 1.27029224  0.49221423 -1.50434828 -1.53280214 -1.57079633],[ 1.48352986 -0.48046828  1.61755639  1.53984042  1.57079633],[ 0.0270866  -0.00463503]
125,125,6,2206,"1,64986435077434E+018",initial,[1.66894436 2.84591611 2.67693312 2.67693225],[1.67978209 2.85884002 2.77353949 2.77353989],[0.26484029 0.18736866],[-1.61780306 -0.90333839 -2.87033302 -2.87033308],[1.4247528  1.0730978  2.79823231 2.79823149],[-3.11380997  3.02482407],[ 1.66270073  0.11115359 -1.50434828 -0.54618693 -1.27907701],[ 1.72868091 -0.1103341   1.64533752  0.55196837  1.36896466],[ 0.         -0.00957519]
126,126,6,2248,"1,64986435088059E+018",dinner_plate,[1.63874755 2.20503582 1.37088551 1.37088552],[1.60797155 1.9656993  1.5263099  1.52630988],[0.08581969 0.04583628],[-1.61115533 -2.53568539  2.61378729  2.61378704],[ 1.49010115  2.8799696  -3.00188877 -3.00188855],[-2.90892438  1.71347863],[ 0.6973064   0.21632086 -1.15013885 -1.02629777 -1.15760721],[ 0.86746583 -0.25237821  1.04719755  1.23694326  1.35378094],[0. 0.]
127,127,6,2443,"1,64986435139522E+018",knife,,,,,,,,,
128,128,6,2714,"1,64986435208822E+018",fork,[1.47352518 2.41603671 0.45156439 0.45156458],[1.45960068 2.35836611 0.36292106 0.36292136],[0.09759679 0.45727144],[-1.57900499 -2.56857407  1.82659894  1.82660088],[ 1.50151818  2.55657654 -1.87731308 -1.87731555],[-3.06167855  1.00835772],[ 1.13833187  0.1917363  -1.46962186 -1.54461639 -0.80838153],[ 1.13446401 -0.19364844  1.46476016  1.51093322  1.35378094],[0.37087811 0.        ]
129,129,6,3024,"1,64986435293603E+018",salt_shaker_right,,,,,,,,,
130,130,6,3039,"1,64986435297693E+018",salt_shaker_left,,,,,,,,,
131,131,6,3268,"1,64986435365507E+018",sugar_bowl,,,,,,,,,
132,132,6,3475,"1,64986435416475E+018",mixer,,,,,,,,,
133,133,6,3714,"1,64986435490345E+018",pressure_cooker,,,,,,,,,
134,134,4,1116,"1,64986432719084E+018",teacup,[1.5452512  2.40576395 2.58116032 2.58115997],[1.67192632 2.97224625 2.89119751 2.89119662],[0.15816751 0.0601666 ],[-1.60185511 -1.42704886  2.05976171  2.05976286],[1.46546347 0.96644918 2.9492798  2.94928063],[2.94436005 2.32100714],[ 1.71826299  0.21085763 -1.3962634  -0.37023007 -0.06741574],[ 1.82244223 -0.49139475  0.87093848  1.14268066  1.57079633],[ 0.00625075 -0.0066111 ]
135,135,4,1376,"1,64986432724465E+018",teapot,[1.57823593 2.49267813 2.60126938 2.60126943],[1.45784203 0.7810188  0.34369386 0.34369326],[0.14359588 0.22973828],[-1.6425303  -1.20273959  2.16217138  2.16217234],[1.27378639 1.75411556 2.48855583 2.48855408],[2.79463701 1.90010215],[-1.37933318  0.66703776 -0.87266463 -0.2080984   0.20892806],[ 1.91986218 -0.45861534  0.97164508  1.03082238  0.52474954],[0.02361396 0.        ]
136,136,4,1602,"1,64986432729259E+018",spoon,[1.48315555 1.41394729 0.38911949 0.38911919],[1.59718652 1.400261   0.4245543  0.42455412],[0.14737646 0.10095149],[-1.59690868 -1.91055398  1.61133135  1.61132873],[ 1.42220223  1.86087588 -1.32468995 -1.32469201],[2.3348662  2.04112677],[-1.10846715  0.46762968 -0.5597898  -1.04012295 -1.59489849],[-1.0876313  -0.61158592  0.36740547  1.05972957  1.61190426],[-0.02153038  0.01117348]
137,137,4,1914,"1,64986432735888E+018",ladle,[1.61349171 2.83125655 1.83719413 1.83719394],[1.63509989 2.84875085 1.97057959 1.97057939],[0.04727135 0.14939139],[-1.60924213 -2.09603758  2.70898918  2.70898919],[ 1.42207168  2.14165186 -2.87028443 -2.87028462],[3.08088134 1.44567752],[ 1.34321771  0.2682216  -1.10499451 -0.84908408 -1.57079633],[ 1.27029224 -0.39442233  1.04719755  1.04719755  1.57079633],[ 0.17293754 -0.12517492]
138,138,4,2119,"1,64986432740195E+018",shallow_plate,[1.57012822 2.34319938 0.81426668 0.81426644],[1.6214126  2.4726864  0.57473884 0.57473818],[0.09832705 0.09907402],[-1.55988441 -2.26189441  2.56960834  2.56960788],[ 1.4600077   2.22768968 -2.73607361 -2.73607278],[2.76797699 1.54477243],[ 1.48352986  0.4403135  -1.61200016 -1.54461639 -1.2517463 ],[ 1.48352986 -0.37803262  1.65922809  1.54461639  1.17764972],[ 0.08612151 -0.03328796]
139,139,4,2400,"1,64986432746088E+018",initial,[1.59380311 2.90786402 2.82461542 2.82461476],[1.63205512 2.976176   2.89565815 2.8956578 ],[0.19317015 0.09958125],[-1.62389391 -1.32801064 -2.98927518 -2.98927567],[ 1.45931808  1.37222171 -3.11587257 -3.11587246],[3.00064155 1.92021781],[ 1.56546677  0.08383741 -1.04719755 -0.03490659 -1.54327383],[ 1.55504884 -0.13628447  0.58965452  0.24655754  1.51776517],[0.13473849 0.        ]
140,140,4,2420,"1,649864327465E+018",dinner_plate,[1.58789958 2.28376406 1.40587414 1.40587431],[1.60303361 2.40037725 1.40596396 1.40596396],[0.06246308 0.10692994],[-1.55873612 -2.62020365  2.45773434  2.45773497],[ 1.49470355  2.34792523 -2.70112874 -2.70112844],[2.54990643 1.04977905],[ 1.13485923  0.39660762 -1.04719755 -1.46996041 -1.57079633],[ 0.89524697 -0.16086903  1.04719755  1.23442959  1.57079633],[ 0.12084792 -0.01056322]
141,141,4,2629,"1,64986432750894E+018",knife,,,,,,,,,
142,142,4,2906,"1,6498643275673E+018",fork,[1.52947185 1.8910123  0.5604907  0.56049067],[1.59756517 2.0458908  0.44578541 0.44578544],[0.13739925 0.09286415],[-1.59729981 -1.87579291  1.87599434  1.87599503],[ 1.41285444  1.87077829 -1.76157348 -1.76157129],[2.5943851  1.93457321],[ 0.94039131  0.87327488 -1.47656715 -1.54461639 -1.57079633],[ 0.85357527 -0.97489105  1.350163    1.53229941  1.54205913],[0.05139509 0.        ]
143,143,4,3142,"1,64986432761651E+018",salt_shaker_left,,,,,,,,,
144,144,4,3157,"1,64986432761966E+018",salt_shaker_right,,,,,,,,,
145,145,4,3417,"1,64986432767392E+018",sugar_bowl,,,,,,,,,
146,146,4,3677,"1,64986432772826E+018",mixer,,,,,,,,,
147,147,4,3910,"1,64986432777743E+018",pressure_cooker,,,,,,,,,
148,148,20,2178,"1,6498646057229E+018",teacup,[1.55251086 2.54648114 2.31448186 2.31448159],[1.61228211 2.90074331 3.09993232 3.09993211],[0.26140069 0.34516544],[-1.55764022 -1.00501853  2.39225584  2.39225648],[1.46760526 1.68856062 1.85773286 1.85774626],[-2.91132194  2.69425873],[ 1.59672054  0.11934844 -1.3962634  -0.08367177 -1.82386907],[ 1.78077054 -0.45724953  0.70425169  1.1439375   1.56331634],[0.03055924 0.00919741]
149,149,20,2414,"1,64986460641879E+018",teapot,[1.61554852 2.56516663 2.49063676 2.49063655],[1.47254689 1.44750203 1.00203532 1.00203542],[0.2697812  0.26134117],[-1.61798293 -0.6878665   3.10866184  3.10866186],[1.5637088  1.54659561 1.75200729 1.75200671],[-2.9325542   2.95711877],[-1.21611904  1.2188245  -0.88274546 -0.31869985 -0.54418471],[ 1.91986218 -0.52359878  0.6973064   1.4304958   0.5490435 ],[-0.0319483  0.       ]
150,150,20,2757,"1,64986460749751E+018",spoon,[1.55742633 1.53576255 0.19932254 0.19932166],[1.55705521 1.75686692 0.05706503 0.05706463],[0.25191407 0.30934355],[-1.55990938 -1.38395897 -3.02158189 -3.0215814 ],[1.45656707 1.28319871 1.91685693 1.91684446],[-2.97992092  2.83879064],[-1.37933318  1.23521421  0.05486773 -1.04719755 -1.59186175],[-1.43142281 -1.11556936 -0.26808792  0.8649202   1.57079633],[0.03055924 0.01117348]
151,151,20,2925,"1,64986460799129E+018",ladle,[1.57876104 2.73085859 1.84189702 1.84189693],[1.57353471 2.79731848 2.09748988 2.09748961],[0.20088573 0.2110084 ],[-1.47362773 -1.36797617  2.48777378  2.48777404],[1.43500734 1.21313494 3.13797839 3.13797823],[-3.020014    2.99086893],[ 1.71131771  0.33651203 -0.67091433 -1.04719755 -1.57079633],[ 1.61408375 -0.26330468  1.04719755  1.20677923  1.57079633],[-0.01805774 -0.03526402]
152,152,20,3156,"1,64986460898053E+018",shallow_plate,[1.57421529 2.79285761 1.75484584 1.75484595],[1.59021739 2.82396805 1.88259901 1.88259887],[0.17657912 0.14704751],[-1.51738493 -1.65735274  3.04088669  3.04088654],[1.47405406 1.41085628 3.07310964 3.07310979],[-2.87234649  2.69035757],[ 1.31543658  0.1903705  -1.66756243 -0.86667977 -1.57079633],[ 1.48559601 -0.29335248  1.34321771  1.31235334  1.57079633],[ 0.03403189 -0.03427599]
153,153,20,3393,"1,64986460991583E+018",initial,[1.62177417 2.78595704 2.89378714 2.89378733],[1.57153199 2.83682349 2.85038799 2.85038825],[0.26065917 0.17398194],[-1.57048875 -0.63547677 -1.79962    -1.799613  ],[1.48597924 0.84405778 2.27722394 2.27722321],[-2.91268515  2.83674017],[ 1.73909884  0.12208006 -1.58421903 -0.48083153 -1.57079633],[ 1.68700922 -0.13765028  1.60019318  0.25535539  1.57079633],[0. 0.]
154,154,20,3416,"1,64986460997889E+018",dinner_plate,[1.62209096 1.92600251 1.57561003 1.57561006],[1.62750686 1.95343727 1.49559326 1.49559298],[0.14054913 0.11526516],[-1.63743611 -2.99412495  3.08836799  3.08836806],[ 1.52418157  2.85864371 -3.13092937 -3.1309296 ],[-2.98933344  0.47019426],[ 0.53409226  0.19446792 -1.25431809 -0.63919269 -1.57079633],[ 0.44727622 -0.19774586  1.03067998  0.81590365  1.57079633],[0.11043 0.     ]
155,155,20,3626,"1,64986461060759E+018",knife,,,,,,,,,
156,156,20,3906,"1,6498646114809E+018",fork,[1.5534844  2.10817367 0.52541116 0.52541108],[1.6048627  2.21818866 0.21896067 0.21896078],[0.1628044  0.11262586],[-1.5741952  -1.89882139  2.04265889  2.04266055],[ 1.46013366  1.94884413 -1.86355966 -1.86356115],[3.1004546  2.62859028],[ 1.13446401  0.67250099 -1.33418885 -1.54461639 -1.57079633],[ 1.13446401 -0.73997194  1.29807337  1.54461639  1.76374152],[-0.04931151  0.        ]
157,157,20,4169,"1,64986461224798E+018",salt_shaker_right,,,,,,,,,
158,158,20,4203,"1,64986461235325E+018",salt_shaker_left,,,,,,,,,
159,159,20,4444,"1,64986461304083E+018",sugar_bowl,,,,,,,,,
160,160,20,4694,"1,64986461392366E+018",mixer,,,,,,,,,
161,161,20,4928,"1,6498646148322E+018",pressure_cooker,,,,,,,,,
162,162,11,1070,"1,64986444577085E+018",teacup,[1.66359402 2.92941106 2.90074658 2.90074525],[1.66776692 2.69945823 2.50671798 2.50671848],[0.21173469 0.03327528],[-1.61214489 -1.06570347 -2.69262979 -2.69263304],[ 1.47705742  0.89666701 -2.94201274 -2.94201265],[ 2.96763587 -0.79689509],[ 1.85369601  0.31329328 -1.3962634  -1.04719755  0.        ],[ 1.6939545  -0.11716314  1.66270073  0.31191295  1.57079633],[-0.0319483  -0.03328796]
163,163,11,1334,"1,64986444582641E+018",teapot,[1.53238056 1.68123166 1.02276272 1.02276242],[1.61081364 2.66325768 2.50214488 2.50214407],[0.17257445 0.03007712],[-1.55730748 -1.57670343 -1.95632538 -1.95632373],[ 1.44161444  0.7730343  -3.01851013 -3.01851085],[-2.93880877  1.82133216],[ 1.76340733  0.52359878 -1.01470583 -1.13438555 -0.78408757],[-1.30988036 -0.95986716  1.73215356  0.13469926 -0.66869126],[-0.01805774  0.        ]
164,164,11,1581,"1,64986444587826E+018",spoon,[1.61878099 1.78567599 0.59251787 0.59251732],[1.605979   1.96755192 0.4866895  0.4866891 ],[0.1055448 0.0368138],[-1.56645716 -1.71265336  2.06358104  2.06357795],[ 1.46961143  1.80477703 -2.36254231 -2.36254086],[-3.11782931  0.31495635],[ 0.86746583  0.91561495 -2.08566846 -1.54461639 -0.84178572],[ 0.48547528 -0.5624168   2.08566846  1.54461639  1.73641081],[0. 0.]
165,165,11,1854,"1,64986444593659E+018",ladle,[1.66609707 2.84067362 1.97956754 1.9795676 ],[1.6424661  2.83443752 2.09950491 2.09950548],[0.10746438 0.05636237],[-1.56406038 -1.06789915  2.8571779   2.85717795],[ 1.47957665  1.19591956 -2.76994749 -2.76994723],[-2.9071992  -2.52490018],[ 1.71131771  0.31192748 -1.02165112 -1.05520497 -1.51290638],[ 1.65922809 -0.35071644  1.0237347   1.06350008  1.54509587],[-0.06667472 -0.00858716]
166,166,11,2085,"1,64986444598619E+018",shallow_plate,[1.60543561 2.7057749  1.55019228 1.55019226],[1.60101419 2.74756588 1.6773301  1.67733002],[0.10021818 0.08672519],[-1.5958078  -2.10786868  2.8520247   2.85202483],[ 1.50812704  1.97239786 -2.9846259  -2.98462575],[-3.14146555 -0.02403048],[ 1.32585451  0.18490726 -0.87927282 -1.17711793 -1.55845755],[ 1.33627243 -0.15267417  1.10013281  1.18415621  1.77285175],[-0.01805774  0.        ]
