participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
16,3475,"1,64986450780335E+018",sugar_bowl,[1.62724197 2.75010853 1.39389641 1.3938963 ],[1.6466669  2.84882619 1.38055585 1.38055598],[0.29614112 0.12702054],[-1.6154802  -2.02303883  2.45428827  2.45428775],[ 1.53073     1.87033915 -2.44471386 -2.44471449],[2.95979556 2.84842498],"[1.43989663 0.78539816 2.31094844 1.22173048 0.68941377 1.62048852
 2.70526034]","[-1.43989663  0.78539816 -2.29211772  1.22295099 -0.53458337  1.78787274
  2.00712864]","[0, 0]"
16,3762,"1,64986450865741E+018",mixer,[1.61475464 2.13111857 0.74580265 0.74580273],[1.58633346 1.94986417 0.33359071 0.33359082],[0.32129829 0.23975963],[-1.61455484 -1.52212515  3.11576901  3.11576972],[ 1.48744851  2.00988583 -2.56883532 -2.56883446],[3.08656321 2.5562912 ],"[1.43989663 0.78539816 2.61799388 0.67895226 1.86110334 1.73033442
 0.13962634]","[-1.43989663  0.78539816 -2.08288744  0.43310668 -1.7585805   1.6832576
  1.04719755]","[0, 0]"
16,3901,"1,6498645093017E+018",pressure_cooker,[1.67783737 2.57082977 0.92605735 0.92605752],[1.66294613 2.66793626 0.99573813 0.99573829],[0.47421273 0.15628928],[-1.67600956 -2.01020867  2.15099715  2.15099753],[ 1.50214447  2.21493334 -2.23449008 -2.23448966],[3.02569228 2.1087163 ],"[1.43989663 0.78539816 2.78694733 1.22173048 0.72079831 1.99187227
 2.53072742]","[-1.43989663  0.78539816 -2.77857812  1.22173048 -0.52935261  1.99187227
 -1.95476876]","[0, 0]"
18,1122,"1,64986453704275E+018",teacup,[1.55695147 2.29386443 2.2344741  2.23447449],[1.6323555  2.77355968 2.81407431 2.8140736 ],[0.28140808 0.32868903],[-1.47807763 -0.95095717  2.42600525  2.4260044 ],[ 1.51986177  0.61490078 -3.01221642 -3.01221694],[-3.09670372  3.1120623 ],"[ 1.43989663  0.78539816  1.58387322  1.47402732  1.04719755  0.52359878
 -0.75049158]","[-1.43989663  0.74172134 -1.67488839  1.84541107  2.17494876 -1.46565811
 -2.7925268 ]","[0, 0]"
18,1421,"1,64986453793968E+018",teapot,[1.54650644 2.46784695 2.4423082  2.44230709],[1.53873394 1.67774351 0.34824428 0.34824461],[0.27983425 0.33811738],[-1.45083156 -0.98571581  2.52431407  2.52431546],[1.55961549 1.61429814 2.69202597 2.69202745],[-3.12153054 -2.96385603],"[ 1.43989663  0.7835674  -1.36627373  0.72602907 -0.17889189  0.68418302
  1.44862328]","[-1.43989663  0.78539816 -1.57079633  1.22818174 -1.04719755  1.36418143
  0.10471976]","[0, 0]"
18,1585,"1,64986453859089E+018",spoon,[1.49011964 1.25759371 0.48903389 0.48903369],[1.55621993 1.27876566 0.34198456 0.34198448],[0.16680958 0.27136436],[-1.49522854 -1.53602336  1.69355389  1.69355254],[ 1.50549578  1.67415584 -2.08814131 -2.08814172],[ 3.04990458 -3.1181263 ],"[ 1.43989663  0.78539816 -1.51796568  1.66756533 -0.6758138   0.51156803
 -3.10668607]","[-1.43989663  0.80972118  1.44787354  1.55771943  0.          0.52359878
 -3.10668607]","[0, 0]"
18,1648,"1,64986453881655E+018",ladle,[1.53948936 2.36110238 1.75820429 1.75820408],[1.63335926 2.69672655 1.38847024 1.38847031],[0.26241132 0.20149052],[-1.4873645  -1.5689764  -2.96523478 -2.96523499],[1.49096113 1.54335467 3.09256479 3.09256484],[2.88898752 3.10537528],"[ 1.43989663  0.78539816  1.86110334  1.22173048  1.80356501  1.87679561
 -1.3962634 ]","[-1.43989663  0.78539816 -1.77950353  0.83587497 -1.02104377  1.61525776
 -1.36135682]","[0, 0]"
18,1849,"1,64986453944345E+018",shallow_plate,[1.60825406 2.74578522 1.8163171  1.81631715],[1.64488258 2.8579276  1.84228609 1.84228578],[0.15239404 0.10752793],[-1.445488   -1.30797667  2.78323643  2.7832365 ],[ 1.50602684  1.55411266 -2.51823894 -2.51824003],[2.92784729 2.36272443],"[1.43989663 0.45926046 2.30048693 1.22295099 1.05033601 1.45310429
 0.64577182]","[-1.43989663  0.49587576 -2.32350226  1.23864326 -0.86412106  0.98756692
 -0.64577182]","[0, 0]"
18,1975,"1,64986453982996E+018",dinner_plate,[1.47280363 2.10020524 0.96389284 0.96389218],[1.46582866 2.22801735 0.90975916 0.90975896],[0.21013651 0.09409541],[-1.44640268 -2.00764565  2.69845027  2.69844956],[ 1.5810935   2.49501662 -2.64988608 -2.64988541],[2.45487001 2.39967911],"[ 1.43989663  0.78539816  2.87063944  1.25956629  1.09218206  1.22173048
 -1.13612042]","[-1.43989663  0.78539816 -2.8779625   1.38510445 -1.10473588  1.30141234
  1.83259571]","[0, 0]"
18,2675,"1,64986454210874E+018",initial,[1.59966885 2.76227012 2.8514969  2.85149659],[1.64864709 2.88307126 2.81219325 2.81219329],[0.31093531 0.32445041],[-1.49877496 -0.80371294 -2.63842063 -2.63842092],[ 1.52013731  0.81910629 -3.00219923 -3.00219911],[3.01798495 3.00659087],"[ 1.43989663  0.78539816  1.65806279  1.45310429  0.96141314  0.41741441
 -0.20504567]","[-1.44473508  0.78539816 -1.60688855  1.13402812 -0.58689094  0.33895305
 -2.39110108]","[0, 0]"
18,2703,"1,64986454219577E+018",fork,[1.52490097 2.1365823  0.60277213 0.60277101],[1.57961958 2.28494701 0.57294101 0.57294101],[0.26480531 0.16626078],[-1.55124722 -1.5552512   2.9399011   2.93990039],[ 1.52088975  2.05128322 -2.68569376 -2.68569361],[2.98923429 2.82389137],"[1.43989663 0.78539816 2.71894749 1.28048931 1.70941139 1.84018031
 1.11701072]","[-1.43989663  0.78539816 -2.67919373  1.40602748 -1.67488839  1.85064183
  0.52359878]","[0, 0]"
18,3012,"1,64986454317862E+018",salt_shaker_right,[1.57810509 2.23855116 2.60848666 2.60848724],[1.64626173 2.80330416 2.68363317 2.68363325],[0.31202285 0.36950492],[-1.37107083 -0.31542821 -0.7169789  -0.71698013],[ 1.53126374  0.83865366 -3.08448952 -3.08448936],[-3.07111549 -3.06256024],"[1.43989663 0.78539816 2.22202557 1.22173048 1.37464294 0.94049011
 0.71558499]","[-1.43989663  0.78539816 -0.79089046  1.21248947 -0.99488998  0.52359878
 -2.67035376]","[0, 0]"
18,3023,"1,64986454321952E+018",salt_shaker_left,[1.53395782 2.56132512 2.11590731 2.11590714],[1.59886241 2.40183117 2.80673509 2.8067346 ],[0.45273623 0.10650873],[-1.42022906 -0.72599988 -3.02785209 -3.02785178],[1.47068043 0.32441815 0.7973556  0.79735422],[3.06792551 3.08046184],"[ 1.43989663  0.78539816  0.79402891  1.3432584   1.05033601 -0.01150767
 -1.76381126]","[-1.43989663  0.78539816 -1.41335054  1.32233537 -1.53888871  1.78787274
 -2.91469985]","[0, 0]"
18,3235,"1,64986454399311E+018",sugar_bowl,[1.54934133 2.65149507 1.8616075  1.86160746],[1.61763746 2.7375202  1.86110398 1.86110413],[0.28748079 0.33199482],[-1.47401588 -0.85584685  3.02549495  3.02549501],[ 1.51780815  0.91037822 -2.98249505 -2.98249506],[3.07277943 3.12429535],"[1.43989663 0.78539816 1.24910477 1.22173048 1.04719755 1.97617999
 2.04203522]","[-1.43989663  0.78539816 -1.22504329  1.22173048 -1.04719755  2.01802605
  2.21656815]","[0, 0]"
18,3405,"1,64986454465071E+018",mixer,[1.51921888 1.9984766  0.46382541 0.46382508],[1.52283014 2.06038903 0.43683251 0.43683215],[0.23648362 0.2604135 ],[-1.53877859 -1.52541268  2.38653004  2.38652929],[ 1.43802807  2.01959338 -2.14604797 -2.14604611],[2.98974137 3.06141186],"[ 1.43989663  0.78539816  2.61799388  0.88295178  1.77741123  1.73033442
 -1.78023584]","[-1.43989663  0.78539816 -2.61799388  0.84633648 -1.63827309  1.55771943
 -1.11701072]","[0, 0]"
17,870,"1,64986451504745E+018",teacup,[1.60555785 2.95715146 2.8375497  2.83754926],[1.63621791 2.70753474 2.54168638 2.54168636],[0.24343704 0.16049593],[-1.71105099 -1.34000746 -3.04172234 -3.04172254],[ 1.4749165   1.33426133 -2.90164455 -2.90164387],[ 2.96168613 -2.90884493],"[1.43989663 0.78539816 1.37464294 1.30141234 0.88295178 1.610027
 1.37464294]","[-1.43989663  0.68418302 -1.68011915  1.46879657 -0.97919771  0.23433791
 -0.41887902]","[0, 0]"
17,1120,"1,64986451510052E+018",teapot,[1.53229925 1.14020827 0.848258   0.84825735],[1.69789941 2.66275222 2.48425619 2.48425687],[0.14786162 0.290941  ],[-1.47482502 -1.43902143 -1.46620576 -1.46620839],[ 1.45461821  1.15294097 -2.78443548 -2.78443491],[3.03224613 2.6418762 ],"[ 1.43989663  0.78539816  1.57079633  1.17587417  0.87772102  1.40079672
 -0.66322512]","[-1.43989663  0.91956708  1.57079633  0.67895226 -1.30350464  0.13495353
  0.6737215 ]","[0, 0]"
17,1352,"1,64986451515049E+018",spoon,[1.51056764 2.19602728 0.73635261 0.73635276],[1.68520036 2.23217296 0.42087556 0.42087512],[0.2058024  0.11795568],[-1.63648955 -1.57737017  2.25853238  2.25853263],[ 1.42734823  1.90270101 -2.04460832 -2.04460621],[ 2.72041073 -2.87595129],"[ 1.43989663  0.86202875 -1.57079633  2.10171816  0.03556915  0.09310747
 -2.0943951 ]","[-1.43989663  0.78539816  1.57079633  1.95525697 -0.06381524  0.06695369
 -0.01745329]","[0, 0]"
