,participant_id,frame_id,timestamp,action,JOINT_NONE,JOINT_HEAD,JOINT_NECK,JOINT_TORSO,JOINT_WAIST,JOINT_LEFT_COLLAR,JOINT_LEFT_SHOULDER,JOINT_LEFT_ELBOW,JOINT_LEFT_WRIST,JOINT_LEFT_HAND,JOINT_RIGHT_COLLAR,JOINT_RIGHT_SHOULDER,JOINT_RIGHT_ELBOW,JOINT_RIGHT_WRIST,JOINT_RIGHT_HAND,JOINT_LEFT_HIP,JOINT_LEFT_KNEE,JOINT_LEFT_ANKLE,JOINT_RIGHT_HIP,JOINT_RIGHT_KNEE,JOINT_RIGHT_ANKLE
368,17,1352,"1,64986451515049E+018",spoon,[ 0. -0.  0.],[2.3329436  0.0254091  0.51456775],[2.34650659 0.0290992  0.3959574 ],[2.40978271e+00 7.51934052e-04 6.38218689e-02],[ 2.42496729  0.0179421  -0.14835445],[2.3617771  0.02225815 0.3158031 ],[ 2.34926001 -0.16800621  0.32730115],[ 2.34781104 -0.38841736  0.16819708],[ 2.24201392 -0.25963788  0.35206799],[ 2.22085449 -0.23388199  0.38884216],[2.3617771  0.02225815 0.3158031 ],[2.3884021  0.2065905  0.29440244],[2.31850122 0.40940491 0.12743692],[2.27223877 0.31918439 0.3539447 ],[2.26298633 0.30114029 0.39924625],[ 2.45661841 -0.08915529 -0.21962349],[ 2.45661841 -0.08915529 -0.62584338],[ 2.45661841 -0.08915529 -1.00795392],[ 2.4595647   0.1121054  -0.23262874],[ 2.48964307  0.06023469 -0.63439899],[ 2.48964307  0.06023469 -1.01650952]
458,17,1488,"1,64986451517963E+018",ladle,[ 0. -0.  0.],[2.38190161 0.03350297 0.47948422],[2.40534668 0.02614027 0.36199387],[2.44423145 0.02495622 0.02116071],[ 2.4783252   0.02508673 -0.19490703],[2.4148335  0.02585139 0.27883929],[ 2.40420874 -0.14329639  0.27635205],[ 2.2216521  -0.22266112  0.09182759],[ 2.07003784 -0.029661    0.15591148],[2.03971497 0.00893903 0.16872826],[2.4148335  0.02585139 0.27883929],[2.41588989 0.19181711 0.26988184],[2.2778252  0.28108878 0.05391028],[2.08058228 0.14724654 0.14065204],[2.04113367 0.12047809 0.1580004 ],[ 2.51435327 -0.08209637 -0.26925104],[ 2.55050806 -0.09741663 -0.68396667],[ 2.55050806 -0.09741663 -1.07453418],[ 2.51727051  0.12207417 -0.28311627],[ 2.55297412  0.11618886 -0.69811218],[ 2.55297412  0.11618886 -1.08867969]
591,17,1973,"1,64986451528461E+018",shallow_plate,[ 0. -0.  0.],[2.4259519  0.03341534 0.49176129],[2.4018042  0.01805209 0.36190106],[2.43145752 0.00612857 0.00382571],[ 2.45041846  0.01032584 -0.20631097],[2.40932373 0.01502851 0.27109991],[ 2.40164014 -0.15942709  0.27208838],[ 2.19313745 -0.35073276  0.16473344],[ 1.98375439 -0.31712695  0.34183881],[ 1.94187781 -0.31040579  0.37725989],[2.40932373 0.01502851 0.27109991],[2.42172729 0.18824893 0.26089951],[2.22651782 0.36463394 0.11130705],[2.01069421 0.41000165 0.27773676],[1.96752954 0.4190752  0.31102271],[ 2.51597607 -0.10362849 -0.28735971],[ 2.56640942 -0.08841288 -0.74413306],[ 2.56640942 -0.08841288 -1.16954907],[ 2.51942358  0.11773302 -0.29612939],[ 2.55651709  0.11519964 -0.75442468],[ 2.55651709  0.11519964 -1.17984058]
645,17,2132,"1,64986451531823E+018",knife,[ 0. -0.  0.],[2.36217896 0.03240978 0.48928107],[2.37436328 0.01008673 0.37402911],[2.44115601 0.01426033 0.06029849],[ 2.44708301  0.00898175 -0.14851472],[2.39121021 0.01113943 0.29489777],[ 2.3891355  -0.1466097   0.27762613],[ 2.39848462 -0.18967039  0.012711  ],[ 2.30104736 -0.18486694 -0.21049953],[ 2.26094287 -0.18288988 -0.30237122],[2.39121021 0.01113943 0.29489777],[2.37902832 0.17840671 0.29845038],[2.20862256 0.33020389 0.15688391],[2.1396958  0.18922026 0.34319751],[2.1259104  0.16102353 0.38046024],[ 2.48050391 -0.09848302 -0.21725351],[ 2.47058252 -0.06728813 -0.6177522 ],[ 2.47058252 -0.06728813 -0.99533362],[ 2.46972949  0.116176   -0.22169243],[ 2.43636938  0.09494469 -0.62157629],[ 2.43636938  0.09494469 -0.99915771]
776,17,2357,"1,64986451536748E+018",fork,[ 0. -0.  0.],[2.37972925 0.03889264 0.49647949],[2.38890967 0.03156845 0.37464301],[2.45381348 0.01334958 0.03353229],[ 2.46809839  0.02186811 -0.17775285],[2.404573   0.02717167 0.29232251],[ 2.41008789 -0.15203317  0.28880679],[ 2.33751514 -0.3267384   0.08406812],[ 2.18897461 -0.23543402  0.26918277],[ 2.1592666  -0.21717314  0.30620569],[2.404573   0.02717167 0.29232251],[2.42773193 0.20575427 0.27626587],[2.32558203 0.3292175  0.04816738],[2.20101343 0.2553568  0.25720206],[2.17609961 0.24058466 0.299009  ],[ 2.50864307 -0.08596967 -0.26028259],[ 2.43220801 -0.02994675 -0.66577209],[ 2.43220801 -0.02994675 -1.05735767],[ 2.5046416   0.12706735 -0.26660925],[ 2.53105005  0.11907736 -0.68211066],[ 2.53105005  0.11907736 -1.07369629]
847,17,2567,"1,64986451541205E+018",salt_shaker_left,[ 0. -0.  0.],[2.39768579 0.0435882  0.49253827],[2.40624561 0.0236124  0.36819885],[2.46859277 0.02840315 0.03525687],[ 2.48310352  0.03222834 -0.1816326 ],[2.42217139 0.02483614 0.28315277],[ 2.3871145  -0.14554063  0.27417804],[ 2.20605615 -0.26935611  0.06934145],[ 1.95154797 -0.27308688  0.02034112],[ 1.90064636 -0.27383304  0.01054106],[2.42217139 0.02483614 0.28315277],[2.45109082 0.18167325 0.26415875],[ 2.46527319  0.25078214 -0.02754861],[ 2.38252026  0.28089835 -0.27134033],[ 2.36596973  0.2869216  -0.32009866],[ 2.52750537 -0.08130482 -0.27323907],[ 2.56759253 -0.0829413  -0.70793561],[ 2.56759253 -0.0829413  -1.11174951],[ 2.53129932  0.13813019 -0.283465  ],[ 2.55649072  0.12328697 -0.71902881],[ 2.55649072  0.12328697 -1.12284277]
859,17,2579,"1,64986451541454E+018",salt_shaker_right,[ 0. -0.  0.],[2.38505933 0.03313544 0.48791394],[2.40397656 0.0393936  0.36330051],[2.46517212 0.02883912 0.02791302],[ 2.48976147  0.03445626 -0.19198038],[2.41949829 0.03671655 0.27823254],[ 2.4379436  -0.12774879  0.26981299],[ 2.52478027e+00 -1.97381516e-01  1.63808346e-04],[ 2.48008887 -0.26392419 -0.25596677],[ 2.47115063 -0.27723273 -0.30719287],[2.41949829 0.03671655 0.27823254],[2.39473291 0.20431554 0.26060892],[2.15483179 0.26219754 0.10505493],[1.89090869 0.26559277 0.15364705],[1.83812402 0.26627182 0.16336548],[ 2.53263232 -0.07647073 -0.28053696],[ 2.57498779 -0.09501535 -0.70794922],[ 2.57498779 -0.09501535 -1.11167371],[ 2.53009937  0.14230365 -0.28762924],[ 2.55112451  0.12321938 -0.71659631],[ 2.55112451  0.12321938 -1.1203208 ]
1000,17,2847,"1,64986451547141E+018",sugar_bowl,[ 0. -0.  0.],[2.35018384 0.03390952 0.4843801 ],[2.3705459  0.0221885  0.36334381],[2.41193872 0.0204347  0.01403876],[ 2.44550366  0.02612564 -0.19890985],[2.38049243 0.02176707 0.27940698],[ 2.37345801 -0.15199231  0.284103  ],[ 2.23226636 -0.24689682  0.05651481],[ 2.08387866 -0.05064221  0.12820267],[ 2.05420117 -0.01139128  0.14254024],[2.38049243 0.02176707 0.27940698],[2.38793408 0.1894425  0.2719639 ],[2.21970459 0.27175739 0.05827879],[2.05509741 0.10801396 0.16675189],[2.02217603 0.07526527 0.18844652],[ 2.48545093 -0.08151541 -0.27122696],[ 2.54522266 -0.09734581 -0.69015796],[ 2.54522266 -0.09734581 -1.08460181],[ 2.49002563  0.12696527 -0.27985632],[ 2.32565015  0.10370487 -0.66942792],[ 2.32565015  0.10370487 -1.06387183]
1047,17,3013,"1,64986451550675E+018",mixer,[ 0. -0.  0.],[2.37820386 0.01617437 0.50729355],[2.37993286 0.00275967 0.38786172],[2.40722534 0.00846315 0.04378287],[ 2.42376953  0.02557589 -0.16486977],[2.38661646 0.0041564  0.30359967],[ 2.3775083  -0.17156137  0.30904822],[ 2.15545898 -0.31891113  0.22100577],[ 2.14146265 -0.21874213  0.45904214],[ 2.13580444 -0.178248    0.55527026],[2.38661646 0.0041564  0.30359967],[2.40644678 0.16862108 0.29625232],[2.2041084  0.33245667 0.19143695],[2.10508374 0.30373404 0.42862933],[2.08527881 0.2979895  0.47606781],[ 2.46558643 -0.07336848 -0.25496071],[ 2.4182937  -0.01790857 -0.6679787 ],[ 2.4182937  -0.01790857 -1.06248401],[ 2.47146191  0.1161612  -0.26095767],[ 2.51205933  0.10453849 -0.67822626],[ 2.51205933  0.10453849 -1.07273157]
1110,17,3157,"1,64986451553898E+018",pressure_cooker,[ 0. -0.  0.],[ 2.32893213 -0.21793347  0.31575226],[ 2.33460107 -0.22813675  0.19733031],[ 2.39696582 -0.23266774 -0.12755009],[ 2.41558398 -0.23130174 -0.33391718],[ 2.34999243 -0.22925497  0.11715115],[ 2.33652246 -0.40051379  0.11779066],[ 2.09590869 -0.51492151  0.04623445],[ 1.8599917  -0.52417072  0.11760147],[ 1.81280835 -0.52602057  0.13187488],[ 2.34999243 -0.22925497  0.11715115],[ 2.37307495 -0.06280243  0.11231026],[2.15483032 0.07961182 0.02180148],[1.9350647  0.15174207 0.1074512 ],[1.89111157 0.16616812 0.12458115],[ 2.4501897  -0.33616559 -0.42276733],[ 2.41451172 -0.29889774 -0.83612823],[ 2.41451172 -0.29889774 -1.21715857],[ 2.45972412 -0.13835458 -0.43225989],[ 2.46367285 -0.14150505 -0.84879736],[ 2.46367285 -0.14150505 -1.22982764]
111,19,371,"1,64986457054477E+018",teacup,[ 0. -0.  0.],[ 2.14696216 -0.0292482   0.5889494 ],[ 2.15856519 -0.02908705  0.45598907],[ 2.25143066 -0.05660577  0.1097074 ],[ 2.26125513 -0.06642374 -0.09892854],[ 2.1821958  -0.03608951  0.36787372],[ 2.17874316 -0.21344016  0.36717065],[ 2.23745093 -0.27536664  0.0874274 ],[ 2.21380615 -0.32297513 -0.20000798],[ 2.20463477 -0.34144144 -0.31149789],[ 2.1821958  -0.03608951  0.36787372],[2.19347852 0.14622522 0.35435938],[2.24248511 0.26984006 0.09386848],[ 2.12593457  0.14447781 -0.14308092],[ 2.08072705  0.09585253 -0.23498843],[ 2.31291821 -0.18850513 -0.18842545],[ 2.31291821 -0.18850513 -0.64466931],[ 2.31291821 -0.18850513 -1.07164954],[ 2.30948999  0.04932233 -0.19780986],[ 2.30954785e+00  1.23929691e-03 -6.51513000e-01],[ 2.30954785e+00  1.23929691e-03 -1.07849316e+00]
227,19,540,"1,64986457122584E+018",teapot,[ 0. -0.  0.],[2.18060303 0.00719542 0.60093658],[ 2.16940869 -0.00454379  0.46831641],[ 2.23804932 -0.02886079  0.11636725],[ 2.24183643 -0.03718909 -0.09401816],[ 2.18690186 -0.01074106  0.37862103],[ 2.1965022  -0.20262778  0.39689899],[ 2.14960815 -0.50024374  0.43800586],[ 2.10078857 -0.72323096  0.59598926],[ 2.09102466 -0.76782837  0.62758594],[ 2.18690186 -0.01074106  0.37862103],[2.198677   0.17658806 0.36151572],[2.25054687 0.29246014 0.08520559],[ 2.10154053  0.16941832 -0.11410099],[ 2.04061194  0.11910661 -0.19559729],[ 2.28115723 -0.15867462 -0.16088618],[ 2.22039551 -0.13661058 -0.61070038],[ 2.22039551 -0.13661058 -1.03813745],[ 2.30518018  0.06113479 -0.17904068],[ 2.20958594  0.0377186  -0.62269049],[ 2.20958594  0.0377186  -1.05012756]
321,19,751,"1,64986457193865E+018",spoon,[ 0. -0.  0.],[ 2.1704541  -0.03205968  0.60923792],[ 2.18149072 -0.0305071   0.48224139],[ 2.22589722 -0.04650244  0.14170148],[ 2.22894629 -0.04246151 -0.05740404],[ 2.1927793  -0.03457331  0.39567197],[ 2.18627808 -0.23468752  0.40675583],[ 2.16420947 -0.52226422  0.43836578],[ 2.14812402 -0.35061435  0.63955963],[ 2.14490698 -0.31628436  0.6797984 ],[ 2.1927793  -0.03457331  0.39567197],[2.20816504 0.16321637 0.38647952],[2.1238623  0.44084741 0.38568143],[2.12008691 0.30223428 0.61145471],[2.11933179 0.27451166 0.65660938],[ 2.26141455 -0.15816249 -0.12684797],[ 2.23058765 -0.12774319 -0.55825775],[ 2.23058765 -0.12774319 -0.96610352],[ 2.27744971  0.05985266 -0.13851605],[ 2.25139282  0.04096577 -0.57089825],[ 2.25139282  0.04096577 -0.97874402]
657,19,1094,"1,64986457300944E+018",ladle,[ 0. -0.  0.],[ 2.1978999  -0.02773509  0.58410156],[ 2.19455908 -0.03794789  0.46672513],[ 2.23815063 -0.04722569  0.14774045],[ 2.26065601 -0.04942313 -0.04661046],[ 2.20549536 -0.04027549  0.38669867],[ 2.20043311 -0.20979202  0.382711  ],[ 2.12872485 -0.307401    0.1433494 ],[ 1.93569751 -0.15945021  0.11837659],[ 1.89709204 -0.12986005  0.11338203],[ 2.20549536 -0.04027549  0.38669867],[2.20945337 0.12502094 0.36751526],[2.12692139 0.20808009 0.12615814],[1.90918359 0.09799989 0.11049701],[1.86563599 0.07598384 0.10736478],[ 2.28724731 -0.15119144 -0.17867053],[ 2.28724731 -0.15119144 -0.57953967],[ 2.28724731 -0.15119144 -0.95661755],[ 2.30089453  0.0403731  -0.18809915],[ 2.2689082   0.02431567 -0.58736731],[ 2.2689082   0.02431567 -0.96444519]
670,19,1107,"1,6498645730406E+018",initial,[ 0. -0.  0.],[ 2.17465283 -0.02784546  0.58293311],[ 2.19446191 -0.03791095  0.46717889],[ 2.2734165  -0.04785825  0.15680484],[ 2.26668457 -0.05000529 -0.04605463],[ 2.21437329 -0.04041953  0.38890671],[ 2.19824097 -0.20422939  0.37974548],[ 2.21957031 -0.25702036  0.12832713],[ 2.20780884 -0.30375397 -0.11833875],[ 2.20545654 -0.31310068 -0.16767192],[ 2.21437329 -0.04041953  0.38890671],[2.21194238 0.12172325 0.36954657],[2.23268579 0.18432579 0.12034052],[ 2.13905078  0.1573188  -0.11132636],[ 2.12032373  0.1519174  -0.15765973],[ 2.29635767 -0.15201454 -0.14021269],[ 2.29635767 -0.15201454 -0.54194525],[ 2.29635767 -0.15201454 -0.91902417],[ 2.2866582   0.05229532 -0.14251767],[ 2.3658877   0.01773037 -0.53484015],[ 2.3658877   0.01773037 -0.91191907]
680,19,1159,"1,64986457322146E+018",shallow_plate,[ 0. -0.  0.],[ 2.20022046 -0.02827576  0.57359619],[ 2.17974023 -0.04020966  0.46483478],[ 2.24551562 -0.04748375  0.14037442],[ 2.25188867 -0.04743497 -0.05923647],[ 2.19556812 -0.04196006  0.38675818],[ 2.18087402 -0.21045056  0.37665356],[ 2.04003931 -0.42953943  0.34014481],[ 1.91359583 -0.21515512  0.35388583],[ 1.88830713 -0.17227826  0.35663403],[ 2.19556812 -0.04196006  0.38675818],[2.19727368 0.12271252 0.36529529],[2.03186682 0.3054754  0.27361346],[1.89094946 0.11605092 0.35360117],[1.86276599 0.07816602 0.36959869],[ 2.27220215 -0.14691055 -0.16578366],[ 2.27220215 -0.14691055 -0.56202032],[ 2.27220215 -0.14691055 -0.93387268],[ 2.28491821  0.04174469 -0.17407803],[ 2.3275127   0.03164775 -0.56788922],[ 2.3275127   0.03164775 -0.93974158]
771,19,2896,"1,64986457906942E+018",dinner_plate,[ 0. -0.  0.],[ 2.24936426 -0.01144984  0.28069354],[ 2.21189746 -0.01275672  0.15728026],[ 2.22403857 -0.01364687 -0.19507204],[ 2.21173633 -0.01478403 -0.40849744],[ 2.21494238 -0.01297997  0.06890958],[ 2.2178645  -0.18855656  0.07269916],[ 2.1103186  -0.35509451 -0.14380597],[ 1.97768494 -0.2294111   0.05198089],[ 1.9511582  -0.20427441  0.09113826],[ 2.21494238 -0.01297997  0.06890958],[2.22976978 0.16003552 0.06829391],[ 2.08263452  0.28134271 -0.15489046],[1.93313379 0.21195984 0.05619265],[1.90323364 0.19808327 0.09840927],[ 2.2385708  -0.13419415 -0.44709705],[ 2.12059424 -0.11011692 -0.86891858],[ 2.12059424 -0.11011692 -1.2815542 ],[ 2.25233276  0.09238808 -0.4631116 ],[ 2.14844189  0.04483781 -0.88664117],[ 2.14844189  0.04483781 -1.29927673]
802,19,1204,"1,64986457337946E+018",salt_shaker_left,[ 0. -0.  0.],[ 2.1719248  -0.03015523  0.58815222],[ 2.17723755 -0.04123444  0.46070364],[ 2.25947754 -0.05129114  0.1236348 ],[ 2.27355664 -0.04887197 -0.09568877],[ 2.19803491 -0.04377764  0.37546359],[ 2.18421973 -0.21564691  0.37392801],[ 2.05660767 -0.30222635  0.11661594],[ 1.80304944 -0.28773727  0.03641798],[ 1.75233777 -0.28483945  0.02037838],[ 2.19803491 -0.04377764  0.37546359],[2.22053345 0.12407085 0.36690549],[2.38325757 0.17539818 0.12017337],[ 2.46557031  0.23243779 -0.12661507],[ 2.48203296  0.24384572 -0.17597275],[ 2.31494312 -0.15984599 -0.20698793],[ 2.31494312 -0.15984599 -0.64245312],[ 2.31494312 -0.15984599 -1.05207385],[ 2.335573    0.0308279  -0.22538367],[ 2.38951782  0.02852114 -0.65748853],[ 2.38951782  0.02852114 -1.06710925]
818,19,1220,"1,64986457342072E+018",salt_shaker_right,[ 0. -0.  0.],[ 2.16412085 -0.02520454  0.58471814],[ 2.17501221 -0.0250571   0.4570979 ],[ 2.22749683 -0.03656205  0.11544083],[ 2.24001416 -0.03650011 -0.09022948],[ 2.1883374  -0.02797805  0.37035602],[ 2.22518237 -0.19551578  0.37581299],[ 2.41897119 -0.26213177  0.17388454],[ 2.56650781 -0.35107648 -0.04070101],[ 2.62554175 -0.38666599 -0.1265633 ],[ 2.1883374  -0.02797805  0.37035602],[2.16385571 0.13784039 0.34976486],[2.02304761 0.16781998 0.10068399],[1.76000513 0.14921033 0.02202274],[1.70739661 0.1454884  0.00629049],[ 2.29410718 -0.14830919 -0.18244081],[ 2.26046265 -0.14067032 -0.61893842],[ 2.26046265 -0.14067032 -1.02870215],[ 2.29625464  0.06256975 -0.19637155],[ 2.21391602  0.05748434 -0.62638904],[ 2.21391602  0.05748434 -1.03615283]
962,19,1524,"1,6498645746275E+018",sugar_bowl,[ 0. -0.  0.],[ 2.19641772 -0.03050998  0.57868854],[ 2.18661328 -0.03620037  0.45267331],[ 2.22395532 -0.04559102  0.10682034],[ 2.25172998 -0.04719994 -0.10896295],[ 2.1959209  -0.03854104  0.36646747],[ 2.19401685 -0.20545541  0.36475351],[ 2.14132764 -0.27466638  0.09024117],[ 1.90005029 -0.14997757  0.08303127],[ 1.8517948  -0.12503981  0.08158929],[ 2.1959209  -0.03854104  0.36646747],[2.20543506 0.12375695 0.35024591],[2.14012964 0.17948444 0.07537685],[1.90447815 0.04540195 0.05793319],[1.8573479  0.01858545 0.05444446],[ 2.29284253 -0.17087158 -0.20577179],[ 2.36969263 -0.15104646 -0.6293241 ],[ 2.36969263 -0.15104646 -1.0340968 ],[ 2.31278857  0.05493196 -0.23045947],[ 2.28224268  0.03583419 -0.659875  ],[ 2.28224268  0.03583419 -1.06464771]
1053,19,1615,"1,64986457491878E+018",mixer,[ 0. -0.  0.],[ 2.19521167 -0.04963684  0.59576404],[ 2.1920708  -0.03624337  0.47544995],[ 2.25306079 -0.07335089  0.14025903],[ 2.25958545 -0.05203096 -0.0613228 ],[ 2.20715942 -0.04542356  0.39252563],[ 2.22692017 -0.23259946  0.41103293],[ 2.16935181 -0.43436411  0.22367682],[ 2.06672144 -0.29463644  0.41918579],[ 2.04619531 -0.26669092  0.4582876 ],[ 2.20715942 -0.04542356  0.39252563],[2.20792969 0.1436622  0.36913797],[2.02750781 0.33027063 0.26073758],[1.93678833 0.31000284 0.5049501 ],[1.91864441 0.30594928 0.5537926 ],[ 2.29085938 -0.16166145 -0.12905177],[ 2.29085938 -0.16166145 -0.54966846],[ 2.29085938 -0.16166145 -0.9453219 ],[ 2.29788013  0.03968729 -0.14473651],[ 2.29788013  0.03968729 -0.56535321],[ 2.29788013  0.03968729 -0.96100671]
1084,19,1772,"1,64986457550563E+018",pressure_cooker,[ 0. -0.  0.],[ 2.05663452 -0.1388969   0.29963751],[ 2.15498853 -0.19053162  0.24811937],[ 2.26583496 -0.19731462 -0.06065315],[ 2.30861548 -0.19969025 -0.26321399],[ 2.1833457  -0.19226686  0.16912823],[ 2.18779199 -0.35149896  0.1285094 ],[ 2.01420776 -0.56125745  0.07323077],[ 1.94713843 -0.33121539  0.14377655],[ 1.93372461 -0.28520697  0.15788571],[ 2.1833457  -0.19226686  0.16912823],[ 2.19987476 -0.03133157  0.13007841],[2.04191296 0.16925487 0.02053849],[1.91950623 0.01358754 0.17278369],[ 1.8950249  -0.01754593  0.20323273],[ 2.36134912 -0.3075972  -0.36702774],[ 2.23909912 -0.28084412 -0.76774243],[ 2.23909912 -0.28084412 -1.15947827],[ 2.37052759 -0.11715076 -0.39240485],[ 2.29050781 -0.1287382  -0.80434607],[ 2.29050781 -0.1287382  -1.19608191]
73,12,1160,"1,64986444708299E+018",teacup,[ 0. -0.  0.],[ 1.92074036 -0.05308878  0.54301678],[ 1.95268994 -0.05299089  0.43168115],[ 2.04964526 -0.05995765  0.09385605],[ 2.03642505 -0.05859508 -0.10580045],[ 1.97619556 -0.05467989  0.3497796 ],[ 1.95219409 -0.23433745  0.33212299],[ 1.98288721 -0.28719299  0.03924578],[ 1.90359058 -0.27759558 -0.21958313],[ 1.8877312  -0.27567609 -0.27134891],[ 1.97619556 -0.05467989  0.3497796 ],[1.99545886 0.12998607 0.34514267],[2.01710205 0.28419052 0.08967179],[ 1.89686621  0.20172296 -0.13861516],[ 1.87281909  0.18522945 -0.18427255],[ 2.05284473 -0.17668979 -0.17209346],[ 1.99853137 -0.18672131 -0.58986945],[ 1.99853137 -0.18672131 -0.98757751],[ 2.05481177  0.05706744 -0.17731963],[ 2.02319531  0.08201691 -0.5968017 ],[ 2.23647656  0.05966331 -0.93173926]
226,12,1394,"1,64986444713163E+018",teapot,[ 0. -0.  0.],[ 1.90273157 -0.01363267  0.5683114 ],[ 1.9239021  -0.0250631   0.44090994],[ 2.01135376 -0.04609     0.07379733],[ 2.00714685 -0.05028011 -0.12510294],[ 1.94446729 -0.03000779  0.35457956],[ 1.95762158 -0.21963364  0.37015424],[ 2.02927563 -0.50041528  0.44906424],[ 1.97811292 -0.70277997  0.62176672],[ 1.96788037 -0.74325293  0.65630725],[ 1.94446729 -0.03000779  0.35457956],[1.960771   0.15296486 0.3362782 ],[2.0455249  0.25623007 0.06729399],[ 1.88731909  0.22544751 -0.15046407],[ 1.85567798  0.219291   -0.19401569],[ 2.03619397 -0.17241791 -0.19611151],[ 1.991047   -0.18646945 -0.63452283],[ 1.991047   -0.18646945 -1.0493064 ],[ 2.037474    0.06508626 -0.20784007],[ 2.01602832  0.07820107 -0.64807678],[ 2.28763525  0.05265265 -0.96052289]
330,12,1583,"1,6498644471703E+018",spoon,[ 0. -0.  0.],[ 1.90997742 -0.03623586  0.57448999],[ 1.93610364 -0.03889761  0.44754852],[ 2.00149597 -0.0529095   0.0772403 ],[ 2.0004353  -0.05323221 -0.11877896],[ 1.95154968 -0.04220729  0.3600798 ],[ 1.95096692 -0.24000151  0.36066055],[ 1.96551489 -0.53467065  0.36643988],[ 1.94413831 -0.39789957  0.59753613],[ 1.93986304 -0.37054535  0.64375537],[ 1.95154968 -0.04220729  0.3600798 ],[1.97471167 0.15235455 0.34682492],[1.93295093 0.44065811 0.29979169],[1.92603235 0.32252991 0.54179706],[1.92464868 0.29890427 0.59019812],[ 2.03008704 -0.17455066 -0.19849686],[ 1.9904043  -0.18127008 -0.63761005],[ 1.9904043  -0.18127008 -1.05239368],[ 2.03645996  0.06431667 -0.20199789],[ 2.01633704  0.08514536 -0.64199957],[ 2.27794043  0.10867162 -0.96302228]
631,12,1936,"1,64986444724477E+018",ladle,[ 0. -0.  0.],[ 1.91998425 -0.037396    0.53584717],[ 1.93521411 -0.0391137   0.41796436],[ 2.01087427 -0.05076506  0.04571115],[ 2.00813062 -0.05162251 -0.17183087],[ 1.95310132 -0.04186826  0.32995792],[ 1.94792078 -0.21821237  0.32344327],[ 2.01333289 -0.29528375  0.06644125],[ 1.80046948 -0.19647485 -0.08917135],[ 1.75789685 -0.17671307 -0.12029387],[ 1.95310132 -0.04186826  0.32995792],[1.96915015 0.13298785 0.31597696],[1.99004749 0.19652306 0.04803043],[ 1.80532776  0.07449517 -0.12597284],[ 1.76838379  0.05008959 -0.1607735 ],[ 2.04184412 -0.17307732 -0.22279425],[ 1.98301233 -0.18462799 -0.66448163],[ 1.98301233 -0.18462799 -1.08376538],[ 2.0412323   0.06714581 -0.22848404],[ 2.00563965  0.08155019 -0.67256506],[ 2.32970532  0.09446774 -0.93829712]
747,12,2101,"1,64986444727989E+018",shallow_plate,[ 0. -0.  0.],[ 1.94316174 -0.03742651  0.54688446],[ 1.95564844 -0.04247068  0.41650546],[ 2.01549585 -0.04427932  0.04526364],[ 2.0138772  -0.04399444 -0.17229558],[ 1.96994934 -0.04290287  0.3277948 ],[ 1.96094653 -0.23114203  0.33004733],[ 1.91600647 -0.47039709  0.16256882],[ 1.76425708 -0.3597951   0.36397452],[ 1.73390723 -0.33767471  0.40425565],[ 1.96994934 -0.04290287  0.3277948 ],[1.97952222 0.14330945 0.32697479],[1.89703064 0.32450287 0.10862706],[1.75298804 0.28455865 0.33988693],[1.72417957 0.27656982 0.38613892],[ 2.03850806 -0.1657177  -0.21692166],[ 1.97856128 -0.18451418 -0.658255  ],[ 1.97856128 -0.18451418 -1.07758069],[ 2.04287512  0.07343266 -0.22347728],[ 2.01186597  0.08036501 -0.66812592],[ 2.30933179  0.04643967 -0.96171948]
814,12,2422,"1,64986444734605E+018",dinner_plate,[ 0. -0.  0.],[ 1.97747339 -0.03554193  0.55226001],[ 1.95345874 -0.04359227  0.4236637 ],[ 2.013302   -0.04925906  0.04577988],[ 2.01594653 -0.04899624 -0.17178781],[ 1.96751221 -0.04492305  0.33492242],[ 1.96247339 -0.22333299  0.33701004],[ 1.79516748 -0.35805347  0.13128333],[ 1.64281531 -0.15882521  0.23649768],[ 1.61234485 -0.11897955  0.25754056],[ 1.96751221 -0.04492305  0.33492242],[1.97194641 0.13079578 0.32804013],[1.7732876  0.24922035 0.14102495],[1.62845483 0.0476573  0.25224069],[1.59948828 0.00734469 0.27448383],[ 2.04472327 -0.16745265 -0.21839668],[ 1.99198804 -0.18555141 -0.66067883],[ 1.99198804 -0.18555141 -1.08000452],[ 2.0505415   0.06734442 -0.21974078],[ 2.02129382  0.08293125 -0.66428961],[ 2.32084131  0.05478127 -0.95637317]
876,12,2601,"1,6498644473826E+018",knife,[ 0. -0.  0.],[ 1.96760425 -0.0488306   0.53365808],[ 1.96959326 -0.05392017  0.41563544],[ 2.04114465 -0.06473864  0.066155  ],[ 2.03185278 -0.0707742  -0.15114661],[ 1.98760815 -0.05664399  0.32764493],[ 1.98509705 -0.22210194  0.3275777 ],[ 2.01453943 -0.28011829  0.03231786],[ 1.91718701 -0.29663129 -0.23937819],[ 1.89771655 -0.2999339  -0.29371741],[ 1.98760815 -0.05664399  0.32764493],[1.98317676 0.112463   0.32391971],[1.76175513 0.20971227 0.14246414],[1.54343018 0.12308826 0.31098547],[1.49976514 0.10576347 0.34468973],[ 2.05899731 -0.18906621 -0.1915706 ],[ 1.99546753 -0.18079059 -0.63272534],[ 1.99546753 -0.18079059 -1.05205115],[ 2.05691382  0.05041748 -0.18698416],[ 2.01660327  0.08556423 -0.62954687],[ 2.28250952  0.07787274 -0.95368994]
